time_s,mechanical_energy_J,energy_error_J,ball_0_height_m
0.000000000000000000e+00,2.403450000000000364e+04,0.000000000000000000e+00,5.000000000000000000e+00
1.000000000000000021e-03,2.403447567745596461e+04,-2.432254403902334161e-02,4.999989986419677734e+00
2.000000000000000042e-03,2.403445061021447327e+04,-4.938978553036577068e-02,4.999970436096191406e+00
3.000000000000000062e-03,2.403442779204994804e+04,-7.220795005559921265e-02,4.999940872192382812e+00
4.000000000000000083e-03,2.403440422918796685e+04,-9.577081203678972088e-02,4.999901771545410156e+00
5.000000000000000104e-03,2.403438141855299546e+04,-1.185814470081822947e-01,4.999852657318115234e+00
6.000000000000000125e-03,2.403435786314606958e+04,-1.421368539340619463e-01,4.999794006347656250e+00
7.000000000000000146e-03,2.403433505992889695e+04,-1.649400711066846270e-01,4.999725341796875000e+00
8.000000000000000167e-03,2.403431151208877782e+04,-1.884879112258204259e-01,4.999646663665771484e+00
9.000000000000001055e-03,2.403428572273850659e+04,-2.142772614970454015e-01,4.999558448791503906e+00
1.000000000000000021e-02,2.403426367927789761e+04,-2.363207221060292795e-01,4.999460220336914062e+00
1.099999999999999936e-02,2.403423939430714017e+04,-2.606056928634643555e-01,4.999352455139160156e+00
1.200000000000000025e-02,2.403421735804081254e+04,-2.826419591910962481e-01,4.999234676361083984e+00
1.300000000000000114e-02,2.403419457730055001e+04,-3.054226994536293205e-01,4.999107360839843750e+00
1.400000000000000029e-02,2.403416955490112377e+04,-3.304450988798635080e-01,4.998970031738281250e+00
1.499999999999999944e-02,2.403414678239822751e+04,-3.532176017761230469e-01,4.998822689056396484e+00
1.600000000000000033e-02,2.403412176704407102e+04,-3.782329559326171875e-01,4.998665809631347656e+00
1.700000000000000122e-02,2.403409900188446409e+04,-4.009981155395507812e-01,4.998498916625976562e+00
1.800000000000000211e-02,2.403407399446964337e+04,-4.260055303602712229e-01,4.998322486877441406e+00
1.899999999999999953e-02,2.403405273294449216e+04,-4.472670555114746094e-01,4.998136043548583984e+00
2.000000000000000042e-02,2.403402923035622007e+04,-4.707696437835693359e-01,4.997940063476562500e+00
2.100000000000000130e-02,2.403400647988319542e+04,-4.935201168082130607e-01,4.997734069824218750e+00
2.199999999999999872e-02,2.403398148775101072e+04,-5.185122489929199219e-01,4.997518062591552734e+00
2.299999999999999961e-02,2.403395724773407346e+04,-5.427522659301757812e-01,4.997292518615722656e+00
2.400000000000000050e-02,2.403393375864029076e+04,-5.662413597128761467e-01,4.997056961059570312e+00
2.500000000000000139e-02,2.403390952715873937e+04,-5.904728412642725743e-01,4.996811866760253906e+00
2.600000000000000228e-02,2.403388754229545884e+04,-6.124577045447949786e-01,4.996556758880615234e+00
2.699999999999999969e-02,2.403386481504440599e+04,-6.351849555976514239e-01,4.996292114257812500e+00
2.800000000000000058e-02,2.403384134063720921e+04,-6.586593627944239415e-01,4.996017456054687500e+00
2.900000000000000147e-02,2.403381712503433300e+04,-6.828749656706349924e-01,4.995732784271240234e+00
2.999999999999999889e-02,2.403379216346740941e+04,-7.078365325942286290e-01,4.995438575744628906e+00
3.099999999999999978e-02,2.403376944732666379e+04,-7.305526733398437500e-01,4.995134353637695312e+00
3.200000000000000067e-02,2.403374598999023510e+04,-7.540100097685353830e-01,4.994820594787597656e+00
3.300000000000000155e-02,2.403372328596115403e+04,-7.767140388496045489e-01,4.994496822357177734e+00
