time_s,mechanical_energy_J,energy_error_J,ball_0_height_m
0.000000000000000000e+00,2.403450000000000364e+04,0.000000000000000000e+00,5.000000000000000000e+00
1.000000000000000021e-03,2.403450262142569045e+04,2.621425686811562628e-03,4.999995231628417969e+00
2.000000000000000042e-03,2.403450150437951379e+04,1.504379510151920840e-03,4.999980449676513672e+00
3.000000000000000062e-03,2.403450113952309039e+04,1.139523086749250069e-03,4.999956130981445312e+00
4.000000000000000083e-03,2.403450152685642388e+04,1.526856420241529122e-03,4.999921798706054688e+00
5.000000000000000104e-03,2.403450116952955796e+04,1.169529554317705333e-03,4.999877452850341797e+00
6.000000000000000125e-03,2.403450156431794312e+04,1.564317939482862130e-03,4.999823570251464844e+00
7.000000000000000146e-03,2.403449971752167039e+04,-2.824783332471270114e-04,4.999759674072265625e+00
8.000000000000000167e-03,2.403450161676407151e+04,1.616764067875919864e-03,4.999686241149902344e+00
9.000000000000001055e-03,2.403450127449632055e+04,1.274496316909790039e-03,4.999602794647216797e+00
1.000000000000000021e-02,2.403450168434381703e+04,1.684343813394661993e-03,4.999509811401367188e+00
1.099999999999999936e-02,2.403450134956837064e+04,1.349568367004394531e-03,4.999406814575195312e+00
1.200000000000000025e-02,2.403450176661014848e+04,1.766610144841251895e-03,4.999293804168701172e+00
1.300000000000000114e-02,2.403450293606520063e+04,2.936065196990966797e-03,4.999171257019042969e+00
1.400000000000000029e-02,2.403450036697387986e+04,3.669738762255292386e-04,4.999038696289062500e+00
1.499999999999999944e-02,2.403450304155350022e+04,3.041553496586857364e-03,4.998896598815917969e+00
1.600000000000000033e-02,2.403450197639465478e+04,1.976394651137525216e-03,4.998744487762451172e+00
1.700000000000000122e-02,2.403450166454315331e+04,1.664543149672681466e-03,4.998582839965820312e+00
1.800000000000000211e-02,2.403450210421085649e+04,2.104210852849064395e-03,4.998411178588867188e+00
1.899999999999999953e-02,2.403450179910660154e+04,1.799106597900390625e-03,4.998229503631591797e+00
2.000000000000000042e-02,2.403450224671364049e+04,2.246713636850472540e-03,4.998038291931152344e+00
2.100000000000000130e-02,2.403450045266151574e+04,4.526615120994392782e-04,4.997837066650390625e+00
2.199999999999999872e-02,2.403450240449905687e+04,2.404499053227482364e-03,4.997626304626464844e+00
2.299999999999999961e-02,2.403450211467743065e+04,2.114677427016431466e-03,4.997405529022216797e+00
2.400000000000000050e-02,2.403450257577896264e+04,2.575778958998853341e-03,4.997175216674804688e+00
2.500000000000000139e-02,2.403450229449272229e+04,2.294492718647234142e-03,4.996934890747070312e+00
2.600000000000000228e-02,2.403450276293754723e+04,2.762937543593579903e-03,4.996684551239013672e+00
2.699999999999999969e-02,2.403450398588180906e+04,3.985881805419921875e-03,4.996424674987792969e+00
2.800000000000000058e-02,2.403450146789550854e+04,1.467895504902116954e-03,4.996154785156250000e+00
2.900000000000000147e-02,2.403450419626236180e+04,4.196262358163949102e-03,4.995875358581542969e+00
2.999999999999999889e-02,2.403450318489074925e+04,3.184890745615120977e-03,4.995585918426513672e+00
3.099999999999999978e-02,2.403450292205810911e+04,2.922058105468750000e-03,4.995286941528320312e+00
3.200000000000000067e-02,2.403450341491699510e+04,3.414916991459904239e-03,4.994977951049804688e+00
3.300000000000000155e-02,2.403450316419601586e+04,3.164196012221509591e-03,4.994658946990966797e+00
3.400000000000000244e-02,2.403450366439819481e+04,3.664398191176587716e-03,4.994330406188964844e+00
3.500000000000000333e-02,2.403450192413330296e+04,1.924133299326058477e-03,4.993991851806640625e+00
3.600000000000000422e-02,2.403450392618179467e+04,3.926181791030103341e-03,4.993643760681152344e+00
3.699999999999999817e-02,2.403450369014740136e+04,3.690147397719556466e-03,4.993285655975341797e+00
3.799999999999999906e-02,2.403450420265198045e+04,4.202651976811466739e-03,4.992918014526367188e+00
3.899999999999999994e-02,2.403450397634506589e+04,3.976345062255859375e-03,4.992540359497070312e+00
4.000000000000000083e-02,2.403450449619293431e+04,4.496192930673714727e-03,4.992152690887451172e+00
4.100000000000000172e-02,2.403450576934814671e+04,5.769348143076058477e-03,4.991755485534667969e+00
4.200000000000000261e-02,2.403450330753326489e+04,3.307533261249773204e-03,4.991348266601562500e+00
4.300000000000000350e-02,2.403450608253479368e+04,6.082534790039062500e-03,4.990931510925292969e+00
4.399999999999999745e-02,2.403450512733459618e+04,5.127334592543775216e-03,4.990504741668701172e+00
4.499999999999999833e-02,2.403450342140197972e+04,3.421401976083870977e-03,4.990067958831787109e+00
4.599999999999999922e-02,2.403450396804809861e+04,3.968048094975529239e-03,4.989621639251708984e+00
4.700000000000000011e-02,2.403450376396179490e+04,3.763961791264591739e-03,4.989165306091308594e+00
4.800000000000000100e-02,2.403450132179260618e+04,1.321792602539062500e-03,4.988699436187744141e+00
4.900000000000000189e-02,2.403450262908935838e+04,2.629089354741154239e-03,4.988223552703857422e+00
5.000000000000000278e-02,2.403450169353485398e+04,1.693534850346622989e-03,4.987738132476806641e+00
5.100000000000000366e-02,2.403450449314117577e+04,4.493141172133618966e-03,4.987242698669433594e+00
5.200000000000000455e-02,2.403450055923462060e+04,5.592346169578377157e-04,4.986737251281738281e+00
5.299999999999999850e-02,2.403450037956238157e+04,3.795623779296875000e-04,4.986222267150878906e+00
5.399999999999999939e-02,2.403450094604492551e+04,9.460449218750000000e-04,4.985697269439697266e+00
5.500000000000000028e-02,2.403450226345062401e+04,2.263450620375806466e-03,4.985162734985351562e+00
5.600000000000000117e-02,2.403450283966064671e+04,2.839660643076058477e-03,4.984618186950683594e+00
5.700000000000000205e-02,2.403450266036987523e+04,2.660369871591683477e-03,4.984064102172851562e+00
5.800000000000000294e-02,2.403450174942016747e+04,1.749420163832837716e-03,4.983500003814697266e+00
5.900000000000000383e-02,2.403450007820129758e+04,7.820129394531250000e-05,4.982925891876220703e+00
5.999999999999999778e-02,2.403450066909790257e+04,6.690978989354334772e-04,4.982342243194580078e+00
6.099999999999999867e-02,2.403450051879883176e+04,5.187988281250000000e-04,4.981748580932617188e+00
6.199999999999999956e-02,2.403450111465454393e+04,1.114654540288029239e-03,4.981145381927490234e+00
6.300000000000000044e-02,2.403449946289062791e+04,-5.371093757275957614e-04,4.980532169342041016e+00
6.400000000000000133e-02,2.403450156059265282e+04,1.560592649184400216e-03,4.979909420013427734e+00
6.500000000000000222e-02,2.403450142021179272e+04,1.420211789081804454e-03,4.979276657104492188e+00
6.600000000000000311e-02,2.403450051956177049e+04,5.195617668505292386e-04,4.978633880615234375e+00
6.700000000000000400e-02,2.403450039367676072e+04,3.936767570849042386e-04,4.977981567382812500e+00
6.800000000000000488e-02,2.403450101394653393e+04,1.013946530292741954e-03,4.977319240570068359e+00
6.900000000000000577e-02,2.403449937705993943e+04,-6.229400642041582614e-04,4.976647377014160156e+00
7.000000000000000666e-02,2.403449999275207665e+04,-7.247926987474784255e-06,4.975965499877929688e+00
7.100000000000000755e-02,2.403449988632202439e+04,-1.136779792432207614e-04,4.975274085998535156e+00
7.200000000000000844e-02,2.403450201339721752e+04,2.013397213886491954e-03,4.974572658538818359e+00
7.299999999999999545e-02,2.403450039596557690e+04,3.959655732614919543e-04,4.973861217498779297e+00
7.399999999999999634e-02,2.403450102157592846e+04,1.021575924823991954e-03,4.973140239715576172e+00
7.499999999999999722e-02,2.403449794082641893e+04,-2.059173584711970761e-03,4.972409248352050781e+00
7.599999999999999811e-02,2.403449856185913450e+04,-1.438140869140625000e-03,4.971668720245361328e+00
7.699999999999999900e-02,2.403449996719360570e+04,-3.280639793956652284e-05,4.970918178558349609e+00
7.799999999999999989e-02,2.403449910583496239e+04,-8.941650412452872843e-04,4.970158100128173828e+00
7.900000000000000078e-02,2.403449900970459203e+04,-9.902954116114415228e-04,4.969388008117675781e+00
8.000000000000000167e-02,2.403450116615295701e+04,1.166152953373966739e-03,4.968607902526855469e+00
8.100000000000000255e-02,2.403450109405517651e+04,1.094055172870866954e-03,4.967818260192871094e+00
8.200000000000000344e-02,2.403449874572754197e+04,-1.254272461665095761e-03,4.967018604278564453e+00
8.300000000000000433e-02,2.403450017547607786e+04,1.754760742187500000e-04,4.966209411621093750e+00
8.400000000000000522e-02,2.403449786071777635e+04,-2.139282227290095761e-03,4.965390205383300781e+00
8.500000000000000611e-02,2.403450076370239549e+04,7.637023918505292386e-04,4.964561462402343750e+00
8.600000000000000699e-02,2.403449992218017724e+04,-7.781982640153728426e-05,4.963722705841064453e+00
8.700000000000000788e-02,2.403449836807251268e+04,-1.631927490961970761e-03,4.962873935699462891e+00
8.799999999999999489e-02,2.403449907608032299e+04,-9.239196806447580457e-04,4.962015628814697266e+00
8.899999999999999578e-02,2.403449899520874169e+04,-1.004791261948412284e-03,4.961147308349609375e+00
8.999999999999999667e-02,2.403449969863891965e+04,-3.013610839843750000e-04,4.960269451141357422e+00
9.099999999999999756e-02,2.403449813537597947e+04,-1.864624024165095761e-03,4.959381580352783203e+00
9.199999999999999845e-02,2.403450035018920971e+04,3.501892060739919543e-04,4.958484172821044922e+00
9.299999999999999933e-02,2.403450029830932908e+04,2.983093254442792386e-04,4.957576751708984375e+00
9.400000000000000022e-02,2.403449951477050854e+04,-4.852294950978830457e-04,4.956659317016601562e+00
9.500000000000000111e-02,2.403449945831299192e+04,-5.416870117187500000e-04,4.955732345581054688e+00
9.600000000000000200e-02,2.403449867019653539e+04,-1.329803468252066523e-03,4.954795360565185547e+00
9.700000000000000289e-02,2.403450014419555737e+04,1.441955537302419543e-04,4.953848838806152344e+00
9.800000000000000377e-02,2.403449935150146848e+04,-6.484985351562500000e-04,4.952892303466796875e+00
9.900000000000000466e-02,2.403450083999634080e+04,8.399963371630292386e-04,4.951926231384277344e+00
1.000000000000000056e-01,2.403450004272461229e+04,4.272460864740423858e-05,4.950950145721435547e+00
1.010000000000000064e-01,2.403450002975463940e+04,2.975463576149195433e-05,4.949964046478271484e+00
1.020000000000000073e-01,2.403450080108642942e+04,8.010864257812500000e-04,4.948968410491943359e+00
1.030000000000000082e-01,2.403450078353882054e+04,7.835388169041834772e-04,4.947962760925292969e+00
1.040000000000000091e-01,2.403449853744506981e+04,-1.462554933823412284e-03,4.946947574615478516e+00
1.049999999999999961e-01,2.403450003128052049e+04,3.128051685052923858e-05,4.945922374725341797e+00
1.059999999999999970e-01,2.403449929656982567e+04,-7.034301779640372843e-04,4.944887638092041016e+00
1.069999999999999979e-01,2.403450226364135960e+04,2.263641355966683477e-03,4.943842887878417969e+00
1.079999999999999988e-01,2.403449853057861401e+04,-1.469421389629133046e-03,4.942788124084472656e+00
1.089999999999999997e-01,2.403449855651855614e+04,-1.443481447495287284e-03,4.941723823547363281e+00
1.100000000000000006e-01,2.403449783172607567e+04,-2.168273927964037284e-03,4.940649509429931641e+00
1.110000000000000014e-01,2.403449931182861474e+04,-6.881713889015372843e-04,4.939565658569335938e+00
1.120000000000000023e-01,2.403450161437988572e+04,1.614379882084904239e-03,4.938471794128417969e+00
1.130000000000000032e-01,2.403450009613037400e+04,9.613037036615423858e-05,4.937368392944335938e+00
1.140000000000000041e-01,2.403449940032959057e+04,-5.996704130666330457e-04,4.936254978179931641e+00
1.150000000000000050e-01,2.403449941253662473e+04,-5.874633789062500000e-04,4.935131549835205078e+00
1.160000000000000059e-01,2.403450020904541088e+04,2.090454072458669543e-04,4.933998584747314453e+00
1.170000000000000068e-01,2.403450021667480542e+04,2.166748017771169543e-04,4.932855606079101562e+00
1.180000000000000077e-01,2.403450104675293187e+04,1.046752928232308477e-03,4.931703090667724609e+00
1.190000000000000085e-01,2.403449955291748120e+04,-4.470825224416330457e-04,4.930540561676025391e+00
1.199999999999999956e-01,2.403450187530517724e+04,1.875305173598462716e-03,4.929368495941162109e+00
1.209999999999999964e-01,2.403450191192627244e+04,1.911926268803654239e-03,4.928186416625976562e+00
1.219999999999999973e-01,2.403450123596191770e+04,1.235961914062500000e-03,4.926994323730468750e+00
1.229999999999999982e-01,2.403450126800537328e+04,1.268005369638558477e-03,4.925792694091796875e+00
1.239999999999999991e-01,2.403450062561035520e+04,6.256103515625000000e-04,4.924581050872802734e+00
1.250000000000000000e-01,2.403449915618896557e+04,-8.438110380666330457e-04,4.923359870910644531e+00
1.260000000000000009e-01,2.403450146484375364e+04,1.464843750000000000e-03,4.922128677368164062e+00
1.270000000000000018e-01,2.403450002899170067e+04,2.899169703596271574e-05,4.920887947082519531e+00
1.280000000000000027e-01,2.403450237121582177e+04,2.371215818129712716e-03,4.919637203216552734e+00
1.290000000000000036e-01,2.403450246582031468e+04,2.465820311044808477e-03,4.918376445770263672e+00
1.300000000000000044e-01,2.403450180969238500e+04,1.809692381357308477e-03,4.917106151580810547e+00
1.310000000000000053e-01,2.403450040283203271e+04,4.028320290672127157e-04,4.915825843811035156e+00
1.320000000000000062e-01,2.403450120086669995e+04,1.200866696308366954e-03,4.914535999298095703e+00
1.330000000000000071e-01,2.403450274505615380e+04,2.745056150160962716e-03,4.913236141204833984e+00
1.340000000000000080e-01,2.403450215606689744e+04,2.156066893803654239e-03,4.911926746368408203e+00
1.350000000000000089e-01,2.403450223693847875e+04,2.236938475107308477e-03,4.910607337951660156e+00
1.360000000000000098e-01,2.403450310211181932e+04,3.102111815678654239e-03,4.909277915954589844e+00
1.370000000000000107e-01,2.403450471343994286e+04,4.713439939223462716e-03,4.907938957214355469e+00
1.380000000000000115e-01,2.403450104522705442e+04,1.045227050781250000e-03,4.906589984893798828e+00
1.390000000000000124e-01,2.403450269012451463e+04,2.690124510991154239e-03,4.905231475830078125e+00
1.400000000000000133e-01,2.403450201110840135e+04,2.011108397709904239e-03,4.903862953186035156e+00
1.410000000000000142e-01,2.403450215454101635e+04,2.154541012714616954e-03,4.902484416961669922e+00
1.420000000000000151e-01,2.403450154724121239e+04,1.547241208754712716e-03,4.901096343994140625e+00
1.430000000000000160e-01,2.403450168609619504e+04,1.686096191406250000e-03,4.899698257446289062e+00
1.440000000000000169e-01,2.403450103607177880e+04,1.036071775160962716e-03,4.898290634155273438e+00
1.449999999999999900e-01,2.403450120849609448e+04,1.208496090839616954e-03,4.896872997283935547e+00
1.459999999999999909e-01,2.403450350952148801e+04,3.509521484375000000e-03,4.895445823669433594e+00
1.469999999999999918e-01,2.403450218048095849e+04,2.180480954848462716e-03,4.894008636474609375e+00
