time_s,phase,source_time_s,cube_x_m,cube_y_m,cube_z_m,relative_slip_m,orientation_drift_rad,arm_q_error_rad,torque_saturation_proxy,penetration_m,candidate_contacts,truncated_contacts,solver_iterations,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
0.0,approach,0.0,0.35,-0.15,0.019992786,0.0,0.0,0.00012129457603916475,0,0.0,256,0,-1,0.0,0.0,nan,0,0.0,0.0,nan,0
0.01,approach,0.01,0.35,-0.15,0.019972868,0.0,0.0,0.0008987062557368642,0,0.0,256,0,-1,0.0,0.0,nan,0,0.0,0.0,nan,0
0.02,approach,0.02,0.35,-0.15,0.019973634,0.0,0.0,0.0019946416178265895,0,0.0,256,0,-1,0.0,0.0,nan,0,0.0,0.0,nan,0
0.03,approach,0.03,0.35,-0.15,0.019976024,0.0,0.0,0.0031200765549124557,0,0.0,256,0,-1,0.0,0.0,nan,0,0.0,0.0,nan,0
0.04,approach,0.04,0.35,-0.15,0.019975638,0.0,0.0,0.004127931740759113,0,0.0,256,0,-1,0.0,0.0,nan,0,0.0,0.0,nan,0
0.05,approach,0.05,0.35,-0.15,0.019975387,0.0,0.0,0.0049590901031122785,0,0.0,256,0,-1,0.0,0.0,nan,0,0.0,0.0,nan,0
0.06,approach,0.06,0.35,-0.15,0.019975465,0.0,0.0,0.005604819443350389,0,0.0,256,0,-1,0.0,0.0,nan,0,0.0,0.0,nan,0
0.07,approach,0.07,0.35,-0.15,0.019975487,0.0,0.0,0.006082863430736015,0,0.0,256,0,-1,0.0,0.0,nan,0,0.0,0.0,nan,0
0.08,approach,0.08,0.35,-0.15,0.019975474,0.0,0.0,0.006421573327858725,0,0.0,256,0,-1,0.0,0.0,nan,0,0.0,0.0,nan,0
0.09,approach,0.09,0.35,-0.15,0.019975472,0.0,0.0,0.006651465108219894,0,0.0,256,0,-1,0.0,0.0,nan,0,0.0,0.0,nan,0
0.1,approach,0.1,0.35,-0.15,0.019975474,0.0,0.0,0.006800288456257432,0,0.0,256,0,-1,0.0,0.0,nan,0,0.0,0.0,nan,0
0.11,approach,0.11,0.35,-0.15,0.019975474,0.0,0.0,0.006891472846038716,0,0.0,256,0,-1,0.0,0.0,nan,0,0.0,0.0,nan,0
0.12,approach,0.12,0.35,-0.15,0.019975474,0.0,0.0,0.006943478807190746,0,0.0,256,0,-1,0.0,0.0,nan,0,0.0,0.0,nan,0
0.13,approach,0.13,0.35,-0.15,0.019975474,0.0,0.0,0.00696996972272428,0,0.0,256,0,-1,0.0,0.0,nan,0,0.0,0.0,nan,0
0.14,approach,0.14,0.35,-0.15,0.019975474,0.0,0.0,0.006980731214160483,0,0.0,256,0,-1,0.0,0.0,nan,0,0.0,0.0,nan,0
0.15,approach,0.15,0.35,-0.15,0.019975474,0.0,0.0,0.006982360423593223,0,0.0,256,0,-1,0.0,0.0,nan,0,0.0,0.0,nan,0
0.16,approach,0.16,0.35,-0.15,0.019975474,0.0,0.0,0.006979329389301863,0,0.0,256,0,-1,0.0,0.0,nan,0,0.0,0.0,nan,0
0.17,approach,0.17,0.35,-0.15,0.019975474,0.0,0.0,0.006974307162673746,0,0.0,256,0,-1,0.0,0.0,nan,0,0.0,0.0,nan,0
0.18,approach,0.18,0.35,-0.15,0.019975474,0.0,0.0,0.006968901090311617,0,0.0,256,0,-1,0.0,0.0,nan,0,0.0,0.0,nan,0
0.19,approach,0.19,0.35,-0.15,0.019975474,0.0,0.0,0.0069639581502095455,0,0.0,256,0,-1,0.0,0.0,nan,0,0.0,0.0,nan,0
