time_s,phase,source_time_s,cube_x_m,cube_y_m,cube_z_m,cube_qw,relative_slip_m,orientation_drift_rad,raw_orientation_drift_rad,arm_q_error_rad,torque_norm_Nm,torque_saturated,penetration_m,contacts_total,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
0.001,approach,0.0,0.35,-0.15,0.019999734864864865,0.0,0.0,0.0,0.0,0.0,34.76283739804346,0,3.469446951953614e-18,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.011000000000000003,approach,0.010000000000000002,0.35,-0.15,0.019998630539433942,0.0,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3603834510770613e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.02100000000000001,approach,0.02000000000000001,0.35,-0.15,0.019998616710816423,-1.4337923037502088e-34,0.0,0.0,0.0,0.0,34.76283739804346,0,1.383238108660223e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.03100000000000002,approach,0.03000000000000002,0.35,-0.15,0.019998616640231056,-2.699261719903541e-34,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833595598010493e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.04100000000000003,approach,0.04000000000000003,0.35,-0.15,0.019998616639955273,-1.515233414918018e-34,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600440109232e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.05100000000000004,approach,0.05000000000000004,0.35,-0.15,0.01999861663995418,-3.6933561180406366e-33,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600458775837e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.06100000000000005,approach,0.060000000000000046,0.35,-0.15,0.019998616639954243,-1.421486147741476e-31,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600458081952e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.07100000000000005,approach,0.07000000000000005,0.35,-0.15,0.0199986166399543,-1.4097498873672977e-31,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600457252755e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.08100000000000006,approach,0.08000000000000006,0.35,-0.15,0.01999861663995427,2.846537546971301e-31,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600457126348e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.09100000000000007,approach,0.09000000000000007,0.35,-0.14999999999999988,0.01999861663995424,-1.2023063407934386e-29,0.0,0.0,0.0,0.0,34.76283739804346,0,1.383360045888227e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.10100000000000008,approach,0.10000000000000007,0.35,-0.14999999999999894,0.019998616639954253,-7.245369024944616e-29,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600461924881e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.11100000000000008,approach,0.11000000000000008,0.35,-0.14999999999999836,0.019998616639954413,-5.504796584479826e-29,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600456052065e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.1210000000000001,approach,0.12000000000000009,0.35,-0.14999999999999772,0.019998616639954468,2.9436929645453984e-28,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600456616877e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.1310000000000001,approach,0.1300000000000001,0.35,-0.14999999999999677,0.019998616639954434,7.587335615700255e-28,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600457680558e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.1410000000000001,approach,0.1400000000000001,0.35,-0.14999999999999555,0.019998616639954385,7.561656288539903e-28,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600459017925e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.1510000000000001,approach,0.1500000000000001,0.35,-0.14999999999999397,0.019998616639954378,1.0722050067046338e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.383360045992143e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.16100000000000012,approach,0.16000000000000011,0.35,-0.1499999999999926,0.019998616639954375,2.0980569561373203e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600456877302e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.17100000000000012,approach,0.17000000000000012,0.35,-0.14999999999999192,0.019998616639954326,2.9773954326222044e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.383360045818471e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.18100000000000013,approach,0.18000000000000013,0.35,-0.14999999999999114,0.019998616639954326,3.783927674012902e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600458964914e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.19100000000000014,approach,0.19000000000000014,0.35,-0.14999999999999,0.01999861663995433,4.29841860100535e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.383360045950029e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.20100000000000015,approach,0.20000000000000015,0.35,-0.1499999999999886,0.01999861663995437,4.466269851564449e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600459699806e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.21100000000000016,approach,0.21000000000000016,0.35,-0.1499999999999874,0.01999861663995435,4.3671383766803056e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600457160876e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.22100000000000017,approach,0.22000000000000017,0.35,-0.14999999999998676,0.019998616639954347,4.739162301529933e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.383360045778884e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.23100000000000018,approach,0.23000000000000018,0.35,-0.149999999999986,0.019998616639954343,5.1959514508546225e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.383360045849533e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.2410000000000002,approach,0.24000000000000019,0.35,-0.149999999999985,0.01999861663995435,5.677897766880924e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600458973526e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.25100000000000017,approach,0.25000000000000017,0.35,-0.14999999999998376,0.019998616639954392,5.547735194469682e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600459099764e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.2610000000000002,approach,0.2600000000000002,0.35,-0.14999999999998212,0.019998616639954392,5.572779147159109e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.383360045997886e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.2710000000000002,approach,0.2700000000000002,0.35,-0.1499999999999814,0.019998616639954295,5.882232097301255e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600457980649e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.2810000000000002,approach,0.2800000000000002,0.35,-0.14999999999998073,0.01999861663995434,6.132656252069102e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600458306896e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.2910000000000002,approach,0.2900000000000002,0.35,-0.14999999999997984,0.019998616639954333,6.272192544215136e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600458954612e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.3010000000000002,approach,0.3000000000000002,0.35,-0.1499999999999787,0.019998616639954343,5.9429180152916025e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.383360045943263e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.3110000000000002,approach,0.3100000000000002,0.35,-0.14999999999997723,0.019998616639954364,5.631941793118666e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.383360045995094e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.32100000000000023,approach,0.32000000000000023,0.35,-0.1499999999999759,0.019998616639954368,5.377781009633141e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600456984866e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.33100000000000024,approach,0.33000000000000024,0.35,-0.14999999999997526,0.019998616639954368,5.4165791147294484e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600457569541e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.34100000000000025,approach,0.34000000000000025,0.35,-0.1499999999999745,0.019998616639954368,5.590939290052e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600458312076e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.35100000000000026,approach,0.35000000000000026,0.35,-0.14999999999997343,0.019998616639954368,5.379560368241848e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600458888507e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.36100000000000027,approach,0.36000000000000026,0.35,-0.14999999999997207,0.019998616639954368,4.101010304831729e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.383360045960685e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.3710000000000003,approach,0.3700000000000003,0.35,-0.14999999999997035,0.019998616639954368,2.2572260855515004e-27,0.0,0.0,0.0,0.0,34.76283739804346,0,1.3833600460533153e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
