0.000000000000000000e+00,1.999999955296516418e-02,0.000000000000000000e+00,3.476283345580050366e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.999600604176521301e-02,-7.987397839315235615e-04,3.476283409718085693e+01,0.000000000000000000e+00,3.993511199951171875e-06
1.000000000000000021e-02,1.999224908649921417e-02,-7.512656738981604576e-04,3.476283473671223589e+01,0.000000000000000000e+00,7.750466465950012207e-06
1.499999999999999944e-02,1.998878084123134613e-02,-6.935941637493669987e-04,3.476283537624260589e+01,0.000000000000000000e+00,1.121871173381805420e-05
2.000000000000000042e-02,1.998558081686496735e-02,-6.401290884241461754e-04,3.476283576191409708e+01,0.000000000000000000e+00,1.441873610019683838e-05
2.500000000000000139e-02,1.998262666165828705e-02,-5.907947197556495667e-04,3.476283614756699336e+01,0.000000000000000000e+00,1.737289130687713623e-05
2.999999999999999889e-02,1.997989974915981293e-02,-5.452512414194643497e-04,3.476283653321787881e+01,0.000000000000000000e+00,2.009980380535125732e-05
3.500000000000000333e-02,1.997738331556320190e-02,-5.032110493630170822e-04,3.476283691701690515e+01,0.000000000000000000e+00,2.261623740196228027e-05
4.000000000000000083e-02,1.997506059706211090e-02,-4.644155851565301418e-04,3.476283730081463119e+01,0.000000000000000000e+00,2.493895590305328369e-05
4.499999999999999833e-02,1.997291669249534607e-02,-4.286067269276827574e-04,3.476283768460950796e+01,0.000000000000000000e+00,2.708286046981811523e-05
5.000000000000000278e-02,1.997093856334686279e-02,-3.955545835196971893e-04,3.476283791888378261e+01,0.000000000000000000e+00,2.906098961830139160e-05
5.500000000000000028e-02,1.996911317110061646e-02,-3.650579892564564943e-04,3.476283804881408912e+01,0.000000000000000000e+00,3.088638186454772949e-05
5.999999999999999778e-02,1.996742933988571167e-02,-3.369162150193005800e-04,3.476283817874200821e+01,0.000000000000000000e+00,3.257021307945251465e-05
6.500000000000000222e-02,1.996587403118610382e-02,-3.109566459897905588e-04,3.476283830866592695e+01,0.000000000000000000e+00,3.412552177906036377e-05
7.000000000000000666e-02,1.996443979442119598e-02,-2.869791351258754730e-04,3.476283843858585243e+01,0.000000000000000000e+00,3.555975854396820068e-05
7.499999999999999722e-02,1.996311545372009277e-02,-2.648674126248806715e-04,3.476283856850263021e+01,0.000000000000000000e+00,3.688409924507141113e-05
8.000000000000000167e-02,1.996189355850219727e-02,-2.444504934828728437e-04,3.476283869839782881e+01,0.000000000000000000e+00,3.810599446296691895e-05
8.500000000000000611e-02,1.996076479554176331e-02,-2.256126899737864733e-04,3.476283882828762728e+01,0.000000000000000000e+00,3.923475742340087891e-05
8.999999999999999667e-02,1.995972357690334320e-02,-2.082110440824180841e-04,3.476283895632273868e+01,0.000000000000000000e+00,4.027597606182098389e-05
9.500000000000000111e-02,1.995876245200634003e-02,-1.921586226671934128e-04,3.476283908435247838e+01,0.000000000000000000e+00,4.123710095882415771e-05
1.000000000000000056e-01,1.995787583291530609e-02,-1.773411931935697794e-04,3.476283921237746455e+01,0.000000000000000000e+00,4.212372004985809326e-05
1.049999999999999961e-01,1.995705813169479370e-02,-1.636722445255145431e-04,3.476283934039719981e+01,0.000000000000000000e+00,4.294142127037048340e-05
1.100000000000000006e-01,1.995630189776420593e-02,-1.510657748440280557e-04,3.476283946841216732e+01,0.000000000000000000e+00,4.369765520095825195e-05
1.150000000000000050e-01,1.995560526847839355e-02,-1.394074934069067240e-04,3.476283959642188393e+01,0.000000000000000000e+00,4.439428448677062988e-05
1.199999999999999956e-01,1.995496265590190887e-02,-1.286673505092039704e-04,3.476283972442637804e+01,0.000000000000000000e+00,4.503689706325531006e-05
1.250000000000000000e-01,1.995436847209930420e-02,-1.187602028949186206e-04,3.476283985242587704e+01,0.000000000000000000e+00,4.563108086585998535e-05
1.300000000000000044e-01,1.995382085442543030e-02,-1.096001069527119398e-04,3.476283998042051593e+01,0.000000000000000000e+00,4.617869853973388672e-05
1.350000000000000089e-01,1.995331421494483948e-02,-1.011573913274332881e-04,3.476284010841004601e+01,0.000000000000000000e+00,4.668533802032470703e-05
1.400000000000000133e-01,1.995284669101238251e-02,-9.334696369478479028e-05,3.476284023639448151e+01,0.000000000000000000e+00,4.715286195278167725e-05
1.449999999999999900e-01,1.995241641998291016e-02,-8.613921090727671981e-05,3.476284036437378688e+01,0.000000000000000000e+00,4.758313298225402832e-05
1.499999999999999944e-01,1.995201967656612396e-02,-7.950550207169726491e-05,3.476284023849034810e+01,0.000000000000000000e+00,4.797987639904022217e-05
1.549999999999999989e-01,1.995165273547172546e-02,-7.338886643992736936e-05,3.476284036645957798e+01,0.000000000000000000e+00,4.834681749343872070e-05
1.600000000000000033e-01,1.995131373405456543e-02,-6.773203494958579540e-05,3.476284024056388233e+01,0.000000000000000000e+00,4.868581891059875488e-05
1.650000000000000078e-01,1.995100080966949463e-02,-6.250581645872443914e-05,3.476284036852086956e+01,0.000000000000000000e+00,4.899874329566955566e-05
1.700000000000000122e-01,1.995071209967136383e-02,-5.768154369434341788e-05,3.476284024261299521e+01,0.000000000000000000e+00,4.928745329380035400e-05
1.750000000000000167e-01,1.995044574141502380e-02,-5.323055665940046310e-05,3.476284037055766163e+01,0.000000000000000000e+00,4.955381155014038086e-05
1.799999999999999933e-01,1.995019987225532532e-02,-4.912411895929835737e-05,3.476284024463846123e+01,0.000000000000000000e+00,4.979968070983886719e-05
1.849999999999999978e-01,1.994997262954711914e-02,-4.533361425274051726e-05,3.476284037257116921e+01,0.000000000000000000e+00,5.002692341804504395e-05
