phase,time_s,cube_z_m,cube_vz_m_s,pad_vz_m_s,relative_vt_m_s,contact_count,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
normal_gate,0.0005,2.407412430484045e-40,4.81482486096809e-37,0.0,4.81482486096809e-37,8,2.648013619395823,6.676736640114482e-18,1.2607066276414887e-17,4,2.648013619395823,6.676736640114482e-18,1.2607066276414887e-17,4
normal_gate,0.001,4.81482486096809e-40,4.81482486096809e-37,0.0,4.81482486096809e-37,8,2.3871895737449176,6.818527197344938e-16,1.4281495010570806e-15,4,2.387189573744926,6.818527197344938e-16,1.4281495010570754e-15,4
normal_gate,0.0015,-7.887886828480973e-36,-1.577673662193414e-32,0.0,-1.577673662193414e-32,8,2.168959063963944,6.064127191531321e-14,1.3979349108711737e-13,4,2.168959063963648,6.064127191531321e-14,1.3979349108713645e-13,4
normal_gate,0.002,4.890947242019996e-34,9.93965222060961e-31,0.0,9.93965222060961e-31,8,1.9861543188521515,6.3274755294448985e-12,1.5928962491448564e-11,4,1.9861543188626924,6.3274755294448985e-12,1.5928962491364023e-11,4
normal_gate,0.0025,6.915699010395698e-30,1.3830419831342991e-26,-6.815758221109542e-28,1.4511995653453946e-26,8,1.8328302907483913,6.80130622145183e-10,1.855410797110594e-09,4,1.832830290351188,6.801306221451791e-10,1.8554107975126803e-09,4
normal_gate,0.003,3.1628673920702786e-26,6.324351644338478e-23,-3.161704021027881e-24,6.640522046441266e-23,8,1.7040549633514237,7.30761919736369e-08,2.144185297577357e-07,4,1.7040549783533094,7.307619197365416e-08,2.144185278701229e-07,4
normal_gate,0.0035,5.69597235839294e-26,5.0662099326453226e-23,-2.0453333115080723e-24,5.27074326379613e-23,8,1.5957357725210168,1.4864055279921262e-07,4.6574299880607246e-07,4,1.5957357687479279,1.4864055279919894e-07,4.6574299990727066e-07,4
normal_gate,0.004,8.819684282078462e-26,6.247423847371046e-23,-2.3070584271986787e-24,6.478129690090913e-23,8,1.5044757056089961,2.731741694609529e-07,9.078716540337046e-07,4,1.504475702606895,2.731741694609279e-07,9.078716558452312e-07,4
normal_gate,0.0045000000000000005,1.3364492498130088e-25,9.089616432103249e-23,-3.347496541425534e-24,9.424366086245802e-23,8,1.4274542453474677,3.636689941979625e-07,1.2738376567349764e-06,4,1.4274542429694503,3.6366899419792823e-07,1.2738376588569617e-06,4
normal_gate,0.005,2.013937964562468e-25,1.354977429498918e-22,-5.027707160673871e-24,1.4052545011056568e-22,8,1.3623286162586286,4.2816121702945664e-07,1.5714314884073947e-06,4,1.3623286143851003,4.281612170294204e-07,1.5714314905683563e-06,4
normal_gate,0.0055,2.961087559004214e-25,1.8942991888834925e-22,-6.888863538918184e-24,1.9631878242726744e-22,8,1.3071520236731808,4.7283253994014805e-07,1.808636376553426e-06,4,1.3071520222068607,4.728325399401153e-07,1.8086363785821695e-06,4
normal_gate,0.006,4.188816817223947e-25,2.4554585164394665e-22,-8.543224764024239e-24,2.540890764079709e-22,8,1.2603059182396463,5.024286796001212e-07,1.9932806484869043e-06,4,1.2603059171013673,5.024286796000953e-07,1.993280650287087e-06,4
normal_gate,0.006500000000000001,5.684800748094628e-25,2.9919678617413604e-22,-9.78399568285378e-24,3.089807818569898e-22,8,1.2204438906962385,5.205913853105021e-07,2.1327952447429405e-06,4,1.2204438898216952,5.205913853104849e-07,2.1327952462711844e-06,4
normal_gate,0.007,7.414132329766517e-25,3.4586631633437787e-22,-1.0443155233481974e-23,3.5630947156785985e-22,8,1.186445202350595,5.301145091345948e-07,2.234045483450595e-06,4,1.186445201687535,5.301145091345864e-07,2.2340454846990838e-06,4
