phase,time_s,cube_z_m,cube_vz_m_s,pad_z_m,pad_vz_m_s,relative_vt_m_s,candidate_contact_count,truncated_contacts,solver_iterations,left_Fn_N,left_Ft_N,left_points,left_rho,right_Fn_N,right_Ft_N,right_points,right_rho
normal_gate,0.0025,4.919309317535925e-13,5.0902516963047695e-15,-6.087475443568519e-16,4.9499250184825705e-15,1.4032667782219906e-16,128,0,-1,5.996533555159415,4.4962654453798534e-10,4,3.749053852547251e-10,6.003371554246101,3.6836892498382594e-10,4,3.0680170438833133e-10
normal_gate,0.005,4.919443216504227e-13,5.6062095341469914e-15,-5.953913170863093e-16,5.6001210613221275e-15,6.088472824863911e-18,128,0,-1,6.000378755729716,3.770891240446091e-10,4,3.1422110119676157e-10,5.999526353675799,3.7711441338285733e-10,4,3.142868212853222e-10
normal_gate,0.0075,4.919592294302944e-13,6.222985468536156e-15,-5.804555851273742e-16,6.220609964635582e-15,2.3755039005746853e-18,128,0,-1,6.000172193163297,3.6399429000798895e-10,4,3.033198700720043e-10,5.99973291624222,3.6401853480875573e-10,4,3.033622828637091e-10
normal_gate,0.01,4.919757635134248e-13,6.810949577224466e-15,-5.640129815552737e-16,6.8100906858159505e-15,8.588914085158605e-19,128,0,-1,6.000036630116293,3.501442802299239e-10,4,2.917851188377973e-10,5.999868479289223,3.5016733074945773e-10,4,2.9181250552257145e-10
normal_gate,0.0125,4.919936528492708e-13,7.367240159399623e-15,-5.461465155988388e-16,7.366936921604506e-15,3.032377951170395e-19,128,0,-1,5.999929848696851,3.3560503013664e-10,4,2.7967412836462693e-10,5.999826249096726,3.356267789178783e-10,4,2.7969708203500637e-10
normal_gate,0.015,4.920128974378324e-13,7.890598947618479e-15,-5.269358083551112e-16,7.890498150697756e-15,1.0079692072326174e-19,128,0,-1,5.999955458885669,3.2043917172123635e-10,4,2.6703462543766057e-10,5.999949650519846,3.204595657635385e-10,4,2.6705187912349675e-10
normal_gate,0.0175,4.920333888588924e-13,8.381005613090301e-15,-5.064664101517638e-16,8.381099633747446e-15,-9.402065714522734e-20,128,0,-1,5.999957101797531,3.046687092407124e-10,4,2.538924062885687e-10,5.999948007607985,3.046877099764063e-10,4,2.539086251998015e-10
normal_gate,0.02,4.920550729023421e-13,8.847016882648252e-15,-4.848281064812054e-16,8.847089727481716e-15,-7.284483346386983e-20,128,0,-1,5.999952597875805,2.879775267401812e-10,4,2.3998316823547526e-10,5.99995251152971,2.87995049503518e-10,4,2.399977741074592e-10
normal_gate,0.0225,4.920780037782901e-13,9.368466458603997e-15,-4.619175593238711e-16,9.368482552229995e-15,-1.6093625997831706e-20,128,0,-1,5.999952554765668,2.6723882163308124e-10,4,2.2270077904267565e-10,5.999952554639847,2.6725482613241535e-10,4,2.2271411623558874e-10
normal_gate,0.025,4.921021272766279e-13,9.841294649321451e-15,-4.3777712032712357e-16,9.841303119650924e-15,-8.470329472543003e-21,128,0,-1,5.999952554702851,2.461918539278662e-10,4,2.051615005979484e-10,5.999952554702666,2.4620629902689726e-10,4,2.0517353827566912e-10
