phase,time_from_release_s,x_m,z_m,vx_m_s,vz_m_s,normal_force_N,friction_force_x_N,active_contact_points,phi_min_m,geometric_penetration_m,analytic_vx_m_s,analytic_x_m
normal_settle,-0.99975,0.0,0.01999940536916256,0.0,-0.0023753028362989426,0.3087893710654952,0.0,4,0.0,5.946308374409071e-07,,
normal_settle,-0.9995,0.0,0.01999823749065399,0.0,-0.004670083522796631,0.6308781979001152,0.0,4,-5.941838026046753e-07,1.7625093460087171e-06,,
normal_settle,-0.99925,0.0,0.01999651826918125,0.0,-0.006881319917738438,0.965054112567342,0.0,4,-1.7620623111724854e-06,3.4817308187488905e-06,,
normal_settle,-0.999,0.0,0.01999426633119583,0.0,-0.009006302803754807,1.3100706670163211,0.0,4,-3.4812837839126587e-06,5.7336688041691175e-06,,
normal_settle,-0.99875,0.0,0.01999150589108467,0.0,-0.011042586527764797,1.6648651432613062,0.0,4,-5.733221769332886e-06,8.494108915329396e-06,,
normal_settle,-0.9985,0.0,0.01998825930058956,0.0,-0.01298803836107254,2.0281915264060757,0.0,4,-8.493661880493164e-06,1.1740699410438954e-05,,
normal_settle,-0.99825,0.0,0.019984548911452293,0.0,-0.014840809628367424,2.398915361822037,0.0,4,-1.1740252375602722e-05,1.545108854770702e-05,,
normal_settle,-0.998,0.0,0.019980398938059807,0.0,-0.016599325463175774,2.775937959471753,0.0,4,-1.545064151287079e-05,1.9601061940193593e-05,,
normal_settle,-0.99775,0.0,0.019975833594799042,0.0,-0.018262295052409172,3.15812294345157,0.0,4,-1.960061490535736e-05,2.4166405200958668e-05,,
normal_settle,-0.9975,0.0,0.01997087523341179,0.0,-0.01982870325446129,3.544369702448989,0.0,4,-2.4165958166122437e-05,2.9124766588211476e-05,,
normal_settle,-0.99725,0.0,0.019965551793575287,0.0,-0.02129778265953064,3.933684494980957,0.0,4,-2.9124319553375244e-05,3.444820642471355e-05,,
