time_s,z_m,vz_m_s,contact_count,normal_force_N,contact_dist_m,geometric_penetration_m
0.0,0.021,-0.5,0,0.0,nan,0.0
2.5e-05,0.020987500000000003,-0.5,0,0.0,nan,0.0
5e-05,0.020975,-0.5,0,0.0,nan,0.0
7.500000000000001e-05,0.020962500000000002,-0.5,0,0.0,nan,0.0
0.0001,0.02095,-0.5,0,0.0,nan,0.0
0.000125,0.0209375,-0.5,0,0.0,nan,0.0
0.00015000000000000001,0.020925000000000003,-0.5,0,0.0,nan,0.0
0.000175,0.0209125,-0.5,0,0.0,nan,0.0
0.0002,0.020900000000000002,-0.5,0,0.0,nan,0.0
0.00022500000000000002,0.0208875,-0.5,0,0.0,nan,0.0
0.00025,0.020875,-0.5,0,0.0,nan,0.0
0.000275,0.020862500000000003,-0.5,0,0.0,nan,0.0
0.00030000000000000003,0.02085,-0.5,0,0.0,nan,0.0
0.00032500000000000004,0.020837500000000002,-0.5,0,0.0,nan,0.0
0.00035,0.020825,-0.5,0,0.0,nan,0.0
0.000375,0.0208125,-0.5,0,0.0,nan,0.0
0.0004,0.020800000000000003,-0.5,0,0.0,nan,0.0
0.00042500000000000003,0.0207875,-0.5,0,0.0,nan,0.0
0.00045000000000000004,0.020775000000000002,-0.5,0,0.0,nan,0.0
0.000475,0.0207625,-0.5,0,0.0,nan,0.0
0.0005,0.02075,-0.5,0,0.0,nan,0.0
0.0005250000000000001,0.020737500000000002,-0.5,0,0.0,nan,0.0
0.00055,0.020725,-0.5,0,0.0,nan,0.0
0.000575,0.020712500000000002,-0.5,0,0.0,nan,0.0
0.0006000000000000001,0.0207,-0.5,0,0.0,nan,0.0
0.000625,0.0206875,-0.5,0,0.0,nan,0.0
0.0006500000000000001,0.020675000000000002,-0.5,0,0.0,nan,0.0
0.000675,0.0206625,-0.5,0,0.0,nan,0.0
0.0007,0.02065,-0.5,0,0.0,nan,0.0
0.0007250000000000001,0.020637500000000003,-0.5,0,0.0,nan,0.0
0.00075,0.020625,-0.5,0,0.0,nan,0.0
0.0007750000000000001,0.020612500000000002,-0.5,0,0.0,nan,0.0
0.0008,0.0206,-0.5,0,0.0,nan,0.0
0.000825,0.0205875,-0.5,0,0.0,nan,0.0
0.0008500000000000001,0.020575000000000003,-0.5,0,0.0,nan,0.0
