time_s,phase,source_time_s,cube_x_m,cube_y_m,cube_z_m,cube_qx,cube_qy,cube_qz,cube_qw,relative_slip_m,orientation_drift_rad,raw_orientation_drift_rad,arm_q_error_rad,torque_saturation_proxy,penetration_m,candidate_contacts,truncated_contacts,solver_iterations,joint_q_0,joint_q_1,joint_q_2,joint_q_3,joint_q_4,joint_q_5,joint_q_6,joint_q_7,joint_q_8,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
0.0,approach,0.0,0.3475,-0.15,0.01999598,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00024261193346767062,0,0.0,256,0,-1,-0.0036802562,0.02409531,0.003680326,-2.3684695,-0.00013741477,2.3922188,0.7854916,0.03999999,0.040000007,0.0,0.0,nan,0,0.0,0.0,nan,0
0.01,approach,0.01,0.3475,-0.15,0.019995099,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0011367583091116003,0,0.0,256,0,-1,-0.0036800532,0.024818676,0.003680062,-2.3689928,-0.00015458421,2.3921707,0.7854912,0.03999999,0.040000003,0.0,0.0,nan,0,0.0,0.0,nan,0
0.02,approach,0.02,0.3475,-0.15,0.019995093,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0022340089356228674,0,0.0,256,0,-1,-0.0036797747,0.025713582,0.003679586,-2.369624,-0.0001694676,2.3921,0.7854913,0.03999999,0.040000003,0.0,0.0,nan,0,0.0,0.0,nan,0
0.03,approach,0.03,0.3475,-0.15,0.019995095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.003299732823646827,0,0.0,256,0,-1,-0.0036796366,0.02658614,0.0036789076,-2.3702316,-0.00018177874,2.3920279,0.78549147,0.03999999,0.040000003,0.0,0.0,nan,0,0.0,0.0,nan,0
0.04,approach,0.04,0.3475,-0.15,0.019995095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00422656196048631,0,0.0,256,0,-1,-0.003679663,0.027346643,0.0036781237,-2.3707576,-0.00019170227,2.3919637,0.7854917,0.03999999,0.040000003,0.0,0.0,nan,0,0.0,0.0,nan,0
0.05,approach,0.05,0.3475,-0.15,0.019995095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.004980128102629097,0,0.0,256,0,-1,-0.0036798,0.027965713,0.0036773398,-2.371184,-0.0001995532,2.3919115,0.7854919,0.03999999,0.040000003,0.0,0.0,nan,0,0.0,0.0,nan,0
0.06,approach,0.06,0.3475,-0.15,0.019995095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00556435210158514,0,0.0,256,0,-1,-0.0036799833,0.028445976,0.0036766334,-2.3715143,-0.00020567815,2.391871,0.785492,0.03999999,0.040000003,0.0,0.0,nan,0,0.0,0.0,nan,0
0.07,approach,0.07,0.3475,-0.15,0.019995095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.006000755482572467,0,0.0,256,0,-1,-0.0036801628,0.028804863,0.0036760466,-2.3717608,-0.00021040678,2.3918414,0.78549206,0.03999999,0.040000003,0.0,0.0,nan,0,0.0,0.0,nan,0
0.08,approach,0.08,0.3475,-0.15,0.019995095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.006316776174254882,0,0.0,256,0,-1,-0.00368031,0.02906474,0.0036755914,-2.3719394,-0.00021402937,2.3918204,0.78549206,0.03999999,0.040000003,0.0,0.0,nan,0,0.0,0.0,nan,0
0.09,approach,0.09,0.3475,-0.15,0.019995095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.006539321477852736,0,0.0,256,0,-1,-0.0036804131,0.029247688,0.0036752606,-2.3720653,-0.00021678994,2.3918061,0.78549206,0.03999999,0.040000003,0.0,0.0,nan,0,0.0,0.0,nan,0
