time_s,delta_m,normal_force_N,contact_points,vz_m_s
1.807,4.9999940529232845e-05,19.99971053914993,4,-8.360201775303722e-08
1.8074999999999999,4.9999915063381195e-05,20.000265067124776,4,5.249089696235387e-08
1.808,4.9999853217741475e-05,20.000162743418763,4,1.255792625443064e-07
1.8085,4.9999878683593124e-05,19.999661208483456,4,-4.8365830451757574e-08
1.809,4.999995508114807e-05,19.99980289059945,4,-1.4956734162296925e-07
1.8094999999999999,4.999994780519046e-05,20.00031879733649,4,1.411217542823806e-08
1.81,4.999989687348716e-05,20.000195732187716,4,1.0201585354252529e-07
1.8105,4.9999929615296423e-05,19.999680401400013,4,-6.207505265365398e-08
1.811,4.999989687348716e-05,20.000247532936747,4,6.501532112679342e-08
1.8114999999999999,4.999993689125404e-05,19.99971053914993,4,-8.360201775303722e-08
1.812,4.999991142540239e-05,20.000265067124776,4,5.249089696235387e-08
1.8125,4.999995508114807e-05,19.999720740569824,4,-9.088874719509477e-08
1.813,4.9999929615296423e-05,20.000271002326695,4,4.8251468598436986e-08
1.8135,4.99998677696567e-05,20.00016638745697,4,1.2297637397296057e-07
1.814,4.999989323550835e-05,19.999663328593716,4,-4.988019242091468e-08
1.8145,4.99999696330633e-05,19.99980412408063,4,-1.5044840040445706e-07
1.815,4.999996235710569e-05,20.000319514978326,4,1.359957391144917e-08
1.8155,4.999991142540239e-05,20.00019617279886,4,1.0170113284857507e-07
1.816,4.999994416721165e-05,19.999680657746925,4,-6.225815951665936e-08
1.8165,4.999991142540239e-05,20.00024768208137,4,6.490878945442091e-08
1.817,4.9999951443169266e-05,19.999710625922326,4,-8.366399839587757e-08
1.8175,4.9999925977317616e-05,20.00026511760939,4,5.245483691851405e-08
1.818,4.9999864131677896e-05,20.000162774414527,4,1.2555712203266012e-07
1.8185,4.9999889597529545e-05,19.999661226517407,4,-4.8378709038843226e-08
1.819,4.9999965995084494e-05,19.999802901089286,4,-1.4957483074340416e-07
1.8195,4.999995871912688e-05,20.000318803436464,4,1.4107818024911012e-08
1.82,4.999990778742358e-05,20.00019573593314,4,1.0201317479641148e-07
1.8205,4.9999940529232845e-05,19.999680403581984,4,-6.207661584767266e-08
1.821,4.999990778742358e-05,20.000247534210104,4,6.501441163209165e-08
1.8215,4.999994780519046e-05,19.99971053989073,4,-8.360255066008904e-08
1.822,4.999992233933881e-05,20.000265067558928,4,5.249058787626382e-08
1.8225,4.999986049369909e-05,20.000162743684527,4,1.255790635923404e-07
1.823,4.999988595955074e-05,19.999661208645705,4,-4.8365944138595296e-08
1.8235,4.999996235710569e-05,19.999802890692006,4,-1.4956741267724283e-07
1.824,4.999995508114807e-05,20.000318797394474,4,1.4112133683852335e-08
1.8245,4.9999904149444774e-05,20.000195732223574,4,1.0201582512081586e-07
1.825,4.999993689125404e-05,19.999680401423223,4,-6.207507396993606e-08
1.8255,4.9999904149444774e-05,20.000247532954212,4,6.501530691593871e-08
1.826,4.999994416721165e-05,19.99971053916154,4,-8.360202485846457e-08
1.8265,4.999991870136e-05,20.00026506713054,4,5.2490893409640194e-08
1.827,4.999985685572028e-05,20.000162743421864,4,1.255792625443064e-07
1.8275,4.999988232157193e-05,19.99966120848341,4,-4.8365830451757574e-08
1.828,4.999995871912688e-05,19.99980289059945,4,-1.4956734162296925e-07
1.8285,4.9999951443169266e-05,20.00031879733649,4,1.411217542823806e-08
1.829,4.999990051146597e-05,20.000195732187716,4,1.0201585354252529e-07
1.8295,4.999993325327523e-05,19.999680401400013,4,-6.207505265365398e-08
1.83,4.999990051146597e-05,20.000247532936747,4,6.501532112679342e-08
1.8305,4.9999940529232845e-05,19.99971053914993,4,-8.360201775303722e-08
1.831,4.9999915063381195e-05,20.000265067124776,4,5.249089696235387e-08
1.8315,4.9999853217741475e-05,20.000162743418763,4,1.255792625443064e-07
1.832,4.9999878683593124e-05,19.999661208483456,4,-4.8365830451757574e-08
1.8325,4.999995508114807e-05,19.99980289059945,4,-1.4956734162296925e-07
1.833,4.999994780519046e-05,20.00031879733649,4,1.411217542823806e-08
1.8335,4.999989687348716e-05,20.000195732187716,4,1.0201585354252529e-07
1.834,4.9999929615296423e-05,19.999680401400013,4,-6.207505265365398e-08
1.8345,4.999989687348716e-05,20.000247532936747,4,6.501532112679342e-08
1.835,4.999993689125404e-05,19.99971053914993,4,-8.360201775303722e-08
1.8355,4.999991142540239e-05,20.000265067124776,4,5.249089696235387e-08
1.836,4.999995508114807e-05,19.999720740569824,4,-9.088874719509477e-08
1.8365,4.9999929615296423e-05,20.000271002326695,4,4.8251468598436986e-08
1.837,4.99998677696567e-05,20.00016638745697,4,1.2297637397296057e-07
1.8375,4.999989323550835e-05,19.999663328593716,4,-4.988019242091468e-08
